layers,z_A,z_from_central_gap_A,planar_LVHAR_eV,macro_LVHAR_eV,planar_density_e_per_A3,lower_vacuum_eV,upper_vacuum_eV,macro_inside_slab
4,8.71341147549,-24.2084118224,5.14493072734,0.763275810712,0.0426167167215,5.97671163849,9.13988424293,0
4,8.78202101467,-24.1398022832,4.95207603651,0.671125326574,0.0524065804545,5.97671163849,9.13988424293,0
4,8.85063055385,-24.0711927441,4.71632598022,0.575107687475,0.0642147969647,5.97671163849,9.13988424293,0
4,8.91924009302,-24.0025832049,4.42255647423,0.476281597,0.0783211578607,5.97671163849,9.13988424293,0
4,8.9878496322,-23.9339736657,4.08648315952,0.37578245873,0.0949899691562,5.97671163849,9.13988424293,0
4,9.05645917138,-23.8653641265,3.7036377937,0.274768852663,0.114414082444,5.97671163849,9.13988424293,0
4,9.12506871055,-23.7967545873,3.17048084555,0.174380206983,0.136481132187,5.97671163849,9.13988424293,0
4,9.19367824973,-23.7281450482,2.4183920734,0.0756918811961,0.160624999786,5.97671163849,9.13988424293,0
4,9.26228778891,-23.659535509,1.43373875146,-0.0203218146896,0.185884424252,5.97671163849,9.13988424293,0
4,9.33089732809,-23.5909259698,0.252541453145,-0.112726102274,0.211030996559,5.97671163849,9.13988424293,0
4,9.39950686726,-23.5223164306,-1.06433737993,-0.200846227165,0.234747621147,5.97671163849,9.13988424293,0
4,9.46811640644,-23.4537068915,-2.44469588449,-0.284701138521,0.255845020086,5.97671163849,9.13988424293,0
4,9.53672594562,-23.3850973523,-3.81948318047,-0.364865779335,0.273493137285,5.97671163849,9.13988424293,0
4,9.60533548479,-23.3164878131,-5.12807210037,-0.442231233991,0.287423932648,5.97671163849,9.13988424293,0
4,9.67394502397,-23.2478782739,-6.32090696288,-0.517758884841,0.298047230899,5.97671163849,9.13988424293,0
4,9.74255456315,-23.1792687347,-7.36262385253,-0.592364823751,0.306418175998,5.97671163849,9.13988424293,0
4,9.81116410233,-23.1106591956,-8.20615243782,-0.666823602606,0.314034892698,5.97671163849,9.13988424293,0
4,9.8797736415,-23.0420496564,-8.81352930215,-0.741747715499,0.322491176569,5.97671163849,9.13988424293,0
4,9.94838318068,-22.9734401172,-9.21808894593,-0.817548431827,0.333067633595,5.97671163849,9.13988424293,0
4,10.0169927199,-22.904830578,-9.46297046102,-0.894442564869,0.346372384249,5.97671163849,9.13988424293,0
4,10.085602259,-22.8362210389,-9.62940186706,-0.97244801345,0.362251956039,5.97671163849,9.13988424293,0
4,10.1542117982,-22.7676114997,-9.74773705279,-1.05137290985,0.380617265271,5.97671163849,9.13988424293,0
4,10.2228213374,-22.6990019605,-9.83178139281,-1.13055859115,0.402036337744,5.97671163849,9.13988424293,0
