pilot,z_A,lvhar_potential_eV,mean_electron_density_e_per_A3
A0,12.803086351851853,-0.8225935237495766,0.18536251856591143
A0,12.871187875,-1.6618955606669419,0.20527545094623975
A0,12.93928939814815,-2.6888780620043664,0.2250384019095338
A0,13.007390921296295,-3.835657486320803,0.24348064433301447
A0,13.075492444444444,-5.027394089629217,0.2595773537311271
A0,13.143593967592594,-6.19534130849662,0.2726756527526996
A0,13.211695490740741,-7.279785837093973,0.2826630726942978
A0,13.27979701388889,-8.233783229867093,0.29000787863667044
A0,13.347898537037038,-9.021500556163849,0.2956344182722047
A0,13.416000060185185,-9.617703746279716,0.30064913700653967
A0,13.484101583333334,-10.006429733491474,0.30599527911221486
A0,13.552203106481484,-10.181171807533948,0.31214645114046136
A0,13.62030462962963,-10.14494795559619,0.31894422053533306
A0,13.688406152777779,-9.909210542043967,0.32563907993323343
A0,13.756507675925926,-9.490622279191701,0.3311250207981894
A0,13.824609199074075,-8.8840202232039,0.3342917576742381
A0,13.892710722222224,-8.140759324351796,0.33437758233279946
A0,13.96081224537037,-7.347900544917124,0.33120673665585937
A0,14.02891376851852,-6.616448563965527,0.32524525403360005
A0,14.097015291666667,-6.064140931548566,0.3178567028185199
A0,14.165116814814816,-5.747959796031501,0.3118402550763162
A0,14.233218337962963,-5.733197576687049,0.31100204023933437
A0,14.30131986111111,-6.057100336458647,0.3193588826625536
A0,14.36942138425926,-6.721824722540178,0.3403551812988997
A0,14.43752290740741,-7.6654465551246584,0.37621209597760147
A0,14.505624430555557,-8.766871552135713,0.4274676806377822
A0,14.573725953703704,-9.875632173510112,0.4927369574766543
A0,14.641827476851851,-10.94976493481868,0.5688023713185282
A0,14.709929,-11.955464257208092,0.6509042217094501
A0,14.77803052314815,-12.845210877443181,0.7330960586051928
A0,14.846132046296296,-13.58456729318121,0.8087913392239255
A0,14.914233569444445,-14.147867897892795,0.8714973049068382
A0,14.982335092592594,-14.517534434024782,0.915645871017035
A0,15.050436615740741,-14.685908503626619,0.9373759796818342
A0,15.11853813888889,-14.650706491785026,0.935106338979242
A0,15.186639662037036,-14.420854125569127,0.9097678934530525
A0,15.254741185185186,-14.008850810381395,0.8646416679164571
A0,15.322842708333335,-13.439777816470013,0.8048401074047544
A0,15.390944231481482,-12.706487839308005,0.736548070500502
A0,15.45904575462963,-11.881122194992798,0.6661259271520168
A0,15.527147277777779,-11.10139346206739,0.5991659743986473
A0,15.595248800925926,-10.45569979903166,0.5398716136400475
A0,15.663350324074075,-9.989227942147009,0.49074589725836715
A0,15.731451847222225,-9.706923962544366,0.45253331409763603
A0,15.79955337037037,-9.59483962823594,0.4243804175927697
A0,15.86765489351852,-9.624816622698935,0.404200918503999
A0,15.935756416666667,-9.763055812488146,0.38921974851553914
A0,16.003857939814818,-9.972947875630618,0.3766400026173659
A0,16.071959462962962,-10.213781499419941,0.36432805584992367
A0,16.140060986111113,-10.458481204320373,0.3513645107025873
A0,16.20816250925926,-10.651124327014411,0.338255327200527
A0,16.276264032407408,-10.696247744566138,0.3261456556026028
A0,16.34436555555556,-10.537680418798542,0.3158401509478635
A0,16.412467078703703,-10.128941169980504,0.30752034786117016
A0,16.480568601851854,-9.497372854888875,0.30067727220457585
A0,16.548670125,-8.666948297690194,0.29423554116075634
A0,16.61677164814815,-7.656144832101456,0.28684002765469335
A0,16.684873171296296,-6.493270210860463,0.27721555055661434
A0,16.752974694444443,-5.218972914723686,0.26448710337311765
A0,16.821076217592594,-3.883632993055979,0.24837215253444447
A0,16.88917774074074,-2.551458120645127,0.22921229586257472
A0,16.95727926388889,-1.2917036456801883,0.20786210692685958
A0,17.025380787037037,-0.1775092191393457,0.1854924570104651
A0,17.093482310185184,0.7331013118276167,0.1633682393291256
A0,17.161583833333335,1.407268710870271,0.14264528982442873
A0,17.229685356481482,1.8641558301422443,0.12421126477789216
A0,17.29778687962963,2.175209595374015,0.10858084390878713
A0,17.365888402777777,2.435307416731944,0.09586571959265362
A0,17.43398992592593,2.6322585173636894,0.08594857029855564
A0,17.502091449074076,2.7554267889229167,0.07868667694290679
A0,17.570192972222223,2.8124363498766134,0.07396433292414552
